prd_id,prd_updated,prdcc_updated
PRD_001127,N,Y
PRD_001128,N,Y
PRD_001130,N,Y
PRD_001131,N,Y
PRD_001135,N,Y
PRD_001157,Y,Y
PRD_001158,N,Y
PRD_001162,N,Y
PRD_001169,N,Y
PRD_001171,N,Y
PRD_001172,N,Y
PRD_001184,Y,Y
PRD_001185,N,N
PRD_001186,N,N
PRD_001187,N,N
PRD_001189,Y,Y
PRD_001194,N,Y
PRD_001195,N,Y
PRD_001196,N,Y
PRD_001197,N,Y
PRD_001208,N,Y
PRD_001209,N,Y
PRD_001213,N,N
PRD_001215,Y,Y
PRD_001218,N,Y
PRD_001219,N,N
PRD_001222,N,Y
PRD_001223,N,Y
PRD_001224,N,Y
PRD_001225,N,Y
PRD_001226,N,Y
PRD_001227,N,Y
PRD_001229,N,N
PRD_001232,N,Y
PRD_001233,Y,Y
PRD_001234,Y,Y
PRD_001235,Y,Y
PRD_001236,Y,Y
PRD_001237,Y,Y
PRD_001238,N,Y
PRD_001241,N,Y
PRD_001254,N,Y
PRD_001255,Y,Y
PRD_001256,N,Y
PRD_002043,N,Y
PRD_002089,N,Y
PRD_002097,N,Y
PRD_002098,Y,Y
PRD_002101,N,Y
PRD_002103,Y,Y
PRD_002107,Y,Y
PRD_002111,Y,Y
PRD_002115,N,N
PRD_002118,N,Y
PRD_002126,Y,Y
PRD_002127,N,Y
PRD_002132,Y,Y
PRD_002139,Y,Y
PRD_002142,N,Y
PRD_002156,Y,Y
PRD_002162,N,Y
PRD_002183,Y,Y
PRD_002204,Y,Y
PRD_002214,Y,Y
PRD_002222,N,Y
PRD_002239,Y,Y
PRD_002257,Y,Y
PRD_002267,N,Y
PRD_002272,N,Y
PRD_002274,N,N
PRD_002277,N,Y
PRD_002279,N,Y
PRD_002280,N,Y
PRD_002282,Y,Y
PRD_002285,Y,Y
PRD_002289,Y,Y
PRD_002290,Y,Y
PRD_002295,N,Y
PRD_002301,N,Y
PRD_002303,N,Y
PRD_002306,N,Y
PRD_002307,N,Y
PRD_002308,N,Y
PRD_002311,N,N
PRD_002312,N,Y
PRD_002314,Y,Y
PRD_002316,N,Y
PRD_002317,N,Y
PRD_002318,N,Y
PRD_002323,N,N
PRD_002324,N,N
PRD_002327,N,Y
PRD_002328,N,Y
PRD_002337,Y,Y
PRD_002339,Y,Y
PRD_002345,Y,Y
PRD_002348,N,Y
PRD_002350,Y,Y
PRD_002352,N,Y
